tntt 知己知彼
dhgg 百战不殆
ghdr 不战而屈人之兵
aaft 攻其无备
bagu 出其不意
hrwy 上兵伐谋
rkpg 兵贵神速
lpgt 置之死地而后生
nqta 以逸待劳
fafs 声东击西
rgdy 兵不厌诈
ftmm 运筹帷幄
emeg 胜败乃兵家常事
tnrw 先发制人
npfh 避实击虚
tntg 知己知彼百战不殆
udqe 将在外君命有所不受
rfyb 兵者诡道也
uhfw 善战者致人而不致于人
ngwe 以正合以奇胜
tttg 知彼知己胜乃不殆
rpyt 投之亡地然后存陷之死地然后生
ltff 围魏救赵
fura 远交近攻
yhym 调虎离山
wrdx 欲擒故纵
rmtg 擒贼先擒王
fmlp 十则围之
wmwp 倍则分之
anyh 攻心为上
rcft 兵马未动粮草先行
ywnt 为人民服务
pgfj 实事求是
jjpd 星星之火可以燎原
tlgt 自力更生
cadu 艰苦奋斗
rcsy 反对本本主义
jwtm 愚公移山
idys 没有调查就没有发言权
pkbt 实践出真知
lxyj 团结就是力量
gawn 一切从实际出发
hwus 具体问题具体分析
gybb 理论联系实际
rygy 批评与自我批评
yhwh 谦虚使人进步
cwwr 骄傲使人落后
vwkx 群众路线
wnwt 全心全意为人民服务
awgq 革命不是请客吃饭
ssrr 榜样的力量是无穷的
vvih 好好学习天天向上
ssbs 枪杆子里面出政权
psqy 农村包围城市
duiq 雄关漫道真如铁
wugc 人间正道是沧桑
nfjg 敢教日月换新天
putp 宜将剩勇追穷寇
gsig 不可沽名学霸王
ahfs 世上无难事只要肯登攀
gdrq 一万年太久只争朝夕
omif 数风流人物还看今朝
ggti 不到长城非好汉
uwvb 斗众如斗寡形名是也
mhfe 凡战者以正合以奇胜
xdtb 终而复始日月是也
gdgb 死而更生四时是也
iipb 激水之疾至于漂石者势也
rqpb 鸷鸟之疾至于毁折者节也
duht 故善战者其势险其节短
rvxs 势如彍弩节如发机
xxxt 纷纷纭纭斗乱而不可乱
iiim 浑浑沌沌形圆而不可败
ttgx 乱生于治怯生于勇弱生于强
itob 治乱数也
cnrb 勇怯势也
